rec_id,url,result
770,https://saopaulosecreto.com,0
777,https://nss.gov.om,0
778,https://sundancetv.com,0
780,https://condorferries.fr,0
785,https://i-hookedup.com,0
796,https://prostitutkirostovagood.com,0
797,https://mingw.org,0
802,https://pageroonline.com,0
807,https://lactuchaude.fr,0
809,https://festivalconecta2.com,0
821,https://ch-vignette.com,0
823,https://stillwaterschools.org,0
833,https://etkinigoster.com,0
839,https://graacc.org.br,0
840,https://enamor.co.in,0
842,https://stayhappening.com,0
843,https://footyaccumulators.com,0
844,https://forex.pk,0
868,https://mjsoffthehookdesigns.com,0
870,https://meb96.ru,0
872,https://gala-global.org,0
883,https://nycaviation.com,0
884,https://qiscus.com,0
886,https://disparopro.com.br,0
887,https://besedilo.si,0
889,https://vk-kp.info,0
891,https://rawlings.com,0
894,https://comixzilla.com,0
895,https://magnetssp.com,0
897,https://flpi.com,0
904,https://netip.dk,0
905,https://just4camper.fr,0
908,https://bravotours.dk,0
912,https://honestbank.com,0
913,https://praisezion.com,0
924,https://episerver.com,0
932,https://karupsow.com,0
936,https://premierbets.live,0
941,https://firstbus.co.uk,0
942,https://pash.com.co,0
947,https://sent2mail.com,0
955,https://rescuemobile.eu,0
956,https://zgallerie.com,0
965,https://adeniumboom.ru,0
966,https://ggjav.com,0
967,https://sexmovies.club,0
968,https://audioboo.fm,0
973,https://hostings.lv,0
977,https://experienceitnm.com,0
11193,https://kuchioinlotygin.gitbook.io/web,1
11194,https://kuciioon-logiin.gitbook.io/us,1
11195,https://kucinlagins.gitbook.io/us,1
11196,https://kucinn-logise.gitbook.io/us,1
11197,https://kuckoinzlogi.gitbook.io/us,1
11198,https://kucoein-liogin.gitbook.io/us,1
11199,https://kucoiienllogin.gitbook.io/us,1
11200,https://kucoin-logixnn.gitbook.io/us,1
11201,https://kucoinbelogin.gitbook.io/us,1
11205,https://loginitrustcapital.gitbook.io/us,1
11206,https://loginn-metmaskk.gitbook.io/us,1
11208,https://logon-app-trezr.gitbook.io/us,1
11211,https://matamesmlogn.gitbook.io/us,1
11212,https://matumiskawalieto.gitbook.io/us,1
11213,https://mekama-login.gitbook.io/us,1
11214,https://melamask-wollet.gitbook.io/us,1
11215,https://meta-maskext.gitbook.io/us,1
11219,https://metaamaskexxtensiodownluad.gitbook.io/us,1
11220,https://metaammaesklogin.gitbook.io/us,1
11221,https://metaamskwalet-1.gitbook.io/us,1
11223,https://metaauskkilwallt.gitbook.io/us,1
11225,https://metamaesklogini.gitbook.io/us,1
11228,https://metamask-usawallet.gitbook.io/us,1
11231,https://metamaskex-logi.gitbook.io/us,1
11234,https://metamesk-logmin.gitbook.io/us,1
11235,https://metamesloefgin.gitbook.io/us,1
11236,https://metamskk--moziila.gitbook.io/us,1
11242,https://metiamauskwalleit.gitbook.io/us,1
11249,https://mitammaskloginu.gitbook.io/us,1
11250,https://mnetamskqllogin.gitbook.io/us,1
11255,https://mtswekwaleuvet.gitbook.io/usa,1
11259,https://official--coinbase.gitbook.io/us,1
11260,https://official-ledgerconnecting.gitbook.io/us,1
11262,https://qrco.de/bfEKLi,1
11263,https://patpal-l0gin-myfccount.gitbook.io/us,1
11264,https://paypallllogiin-myaccounnt.gitbook.io/us,1
11265,https://docs.google.com/presentation/d/e/2PACX-1vQ4yV0fYNGrCcjjDWTL0ypHeop5a6_o8DvAqpoCuP3zNE_aDBPdUYH0pq6-vCjHy6DKjINfTjAnQ8fJ/pub?start=false&amp;loop=false&amp;delayms=3000,1
11266,https://payppal-lognmiy-account.gitbook.io/us,1
11267,https://payppalloginn-myyaccount.gitbook.io/us,1
11269,https://phanet-wallets.gitbook.io/us,1
11270,https://phantemhwalet.gitbook.io/us,1
11272,https://phantomwalletzi.gitbook.io/us,1
11273,https://phantoomuswellitt.gitbook.io/us,1
11274,https://phaoitom-wallet.gitbook.io/us,1
11275,https://quarekensogi.gitbook.io/us,1
11276,https://rabbyewaletrf.gitbook.io/us,1
11277,https://s-terzvcr-start.gitbook.io/us,1
11278,https://setup-btimart-auth.gitbook.io/us,1
11281,https://start-helps--bitmart.gitbook.io/us,1
11282,https://start-tredzstarrt.gitbook.io/us,1
11284,https://startt-ledgersupport-help.gitbook.io/us,1
11287,https://support-metamask--org.gitbook.io/us,1
11290,https://supurt-metamankz.gitbook.io/us,1
11291,https://tarezaerweletltt.gitbook.io/en,1
11292,https://tarzeurwalieet.gitbook.io/usa,1
11294,https://terdrezezrwalet.gitbook.io/en,1
11295,https://terezrwaletts.gitbook.io/us,1
11296,https://terzurwaletlo.gitbook.io/us,1
