true_label,predicted_label,y_score
0,1,0.8588364878359558
0,0,0.11496252246052101
0,0,0.030608422095768254
1,1,0.9459920626793498
0,0,0.010563975443513753
0,0,0.026972683023926382
0,0,0.038921831790732414
1,0,0.11620513599499878
0,0,0.01609506350207849
0,0,0.003028880985515888
1,0,0.40180761337419796
0,0,0.008449691286750006
0,0,0.03609598406110412
0,0,0.003631893622752458
1,1,0.991461729309432
1,1,0.8987599555321834
0,0,0.009963244346467552
0,0,0.00103399681241028
0,0,0.04214051650813017
0,0,0.015429328168760862
0,0,0.002805261536698636
1,1,0.9751131737066835
0,0,0.005992128307843469
0,0,0.01602350171345981
1,1,0.8503351179673557
0,0,0.37489320595840425
0,0,0.005918800904871377
0,0,0.0023620414153584252
1,1,0.9847204400984159
0,0,0.006474874354280871
0,0,0.006990711758581226
0,0,0.0028551382188292604
0,0,0.002271906323224789
1,1,0.9818031004161941
0,0,0.0016366815767518313
1,1,0.7643141173237125
0,0,0.3239340787685944
0,0,0.05115469453256468
0,0,0.0007226909063066918
1,1,0.7689156078654058
0,0,0.08779469777878417
0,0,0.0022459470261616313
0,0,0.03912655617016818
0,1,0.8459031232381614
0,0,0.0006818773127430511
0,0,0.0016366815767518313
0,1,0.8334549492565129
0,0,0.0007240921282828091
0,0,0.021247571622116178
0,0,0.0033972192200811325
0,0,0.0700162618460632
1,1,0.9254737629665979
0,0,0.03770269756346237
0,0,0.0007891822754834604
0,0,0.015270610057997494
0,0,0.002157970425499464
0,0,0.005462546599231218
0,0,0.00018186898273897365
1,1,0.9903959459251729
1,0,0.46157616773908194
0,0,0.014760206664175298
1,1,0.5812428535689856
1,1,0.6724573788095601
1,0,0.08723100587817847
1,1,0.9865680272911742
1,1,0.9799412244995604
0,0,0.31219403907803367
0,0,0.09923760508511179
1,1,0.9977363264780668
1,1,0.7790430158137114
0,0,0.3372044645554348
1,1,0.9266421472665348
0,0,0.0033053230061729695
0,0,0.0037209189494386164
0,0,0.0009243499346116028
1,1,0.7357167175276869
0,0,0.0032958493459666416
0,0,0.021141849636078555
