true_label,pred_label,predict_proba
0,0,0.2980920672416687
0,0,0.2676156461238861
1,1,0.3897676765918731
0,0,0.3684627413749695
0,1,0.3792561292648315
0,0,0.3558714389801025
0,0,0.2505719363689422
0,0,0.3595839142799377
0,1,0.4285903871059418
1,1,0.3901437520980835
0,0,0.1442692726850509
0,0,0.2627471387386322
1,1,0.3991048634052276
0,0,0.0652864798903465
1,1,0.3897676765918731
0,0,0.2975795269012451
0,0,0.324468046426773
1,1,0.3897676765918731
0,0,0.3018225729465484
0,0,0.2953222692012787
0,0,0.275748074054718
0,0,0.3546201586723327
0,1,0.4224991202354431
0,0,0.2636564373970032
1,1,0.3838911652565002
1,1,0.3897676765918731
0,0,0.2149594724178314
0,0,0.2162498086690902
0,0,0.3316752016544342
1,1,0.3952051103115082
0,0,0.2754961848258972
1,1,0.3819482028484344
0,0,0.3361018896102905
0,0,0.3364312350749969
0,1,0.3897676765918731
1,1,0.3824819326400757
0,0,0.3157353401184082
0,1,0.3785396814346313
0,0,0.3134683072566986
0,0,0.301068902015686
0,0,0.2954989969730377
0,0,0.3166930377483368
0,1,0.3761343657970428
0,1,0.377116709947586
0,1,0.4220328629016876
0,0,0.3339208364486694
0,1,0.3892777264118194
0,0,0.3588136434555053
0,0,0.316785454750061
0,0,0.3302122950553894
0,0,0.3351040184497833
0,1,0.3945512473583221
0,0,0.3671826422214508
0,1,0.4222854077816009
0,0,0.2643807530403137
0,0,0.3086376786231994
0,1,0.384727269411087
1,1,0.425872653722763
1,0,0.3590445816516876
1,0,0.3061364889144897
1,1,0.3863438665866852
1,1,0.3790011703968048
0,0,0.2817911505699157
1,1,0.4108093976974487
1,1,0.3836371004581451
1,0,0.3667924404144287
0,0,0.2881436645984649
1,1,0.3831464648246765
0,0,0.3192498683929443
0,1,0.3884322643280029
0,0,0.0658233687281608
0,0,0.3379805088043213
1,1,0.3930641114711761
0,0,0.2683216035366058
0,0,0.3595566153526306
0,0,0.309208869934082
0,0,0.3179303109645843
0,0,0.2852008044719696
0,0,0.3599454462528229
1,1,0.37712562084198
1,0,0.3450425863265991
0,1,0.3885754346847534
0,0,0.3080392777919769
0,0,0.3472627103328705
1,0,0.3074135482311249
0,0,0.3490711748600006
0,0,0.3281907439231872
0,0,0.3611094355583191
0,0,0.3521674275398254
1,1,0.3779376149177551
1,1,0.412755399942398
0,0,0.3212283551692962
1,1,0.4004184901714325
