true_label,predicted_label,y_score
0,0,0.006834173055731742
0,0,0.07070869733753993
0,0,0.007705820992010761
1,1,0.9970643819570596
0,0,0.055256357338910975
0,0,0.04840398461470286
1,1,0.9757588754910258
1,1,0.9097752126934092
0,0,0.0016644899748076197
0,0,0.0008372027938594471
0,0,0.00034838292321431587
0,0,0.006475045068813742
0,0,0.0019172515217407435
0,0,0.04842605612754118
0,0,0.02245305730215626
0,0,0.0005840309585716466
0,0,0.001181082757596138
0,0,0.026648106305248748
0,0,0.003184474870360295
1,1,0.9710661082986144
1,0,0.4493885291809652
0,0,0.0009522303733093283
0,0,0.008441269926002056
0,0,0.2861471119834401
1,1,0.980569532307881
0,0,0.00485978406926464
0,0,0.001708356888562061
0,0,0.001967629172989989
0,0,0.01878480322304154
0,0,0.007183884083878783
1,0,0.45433140331047983
0,0,0.0031634351337508446
1,1,0.9225032798684764
0,0,0.16500899946496678
1,1,0.546345704551406
0,0,0.016657701523788922
0,0,0.2138477416884441
1,0,0.24490704100150124
0,0,0.13658350032749314
0,0,0.04521849594383036
0,0,0.006590796402100187
0,0,0.030219772127762362
1,1,0.9906362339143769
0,1,0.5927533365907429
0,0,0.000943082032165643
0,0,0.0008061798978705923
0,0,0.01564762273204746
0,0,0.012423530282057666
1,0,0.49752345124311814
0,0,0.0943805227070774
1,1,0.9981594237377129
0,0,0.006421951558494706
0,0,0.19355979812255808
0,0,0.09403370733891454
0,0,0.08938463092369474
0,0,0.01066539438112423
0,0,0.0054011949930422715
0,0,0.13609495961884757
1,1,0.9867944831141714
0,0,0.0011158016600634265
0,0,0.09301560346751359
0,0,0.01066539438112423
1,1,0.8175820623715974
0,0,0.0011548377039398484
0,0,0.0077357068188349245
0,0,0.0029812098264222144
0,0,0.0015994932250227552
0,0,0.14192795976780784
0,0,0.0011158016600634265
0,0,0.08532399038546434
0,0,0.24526093074633126
1,1,0.6237868748360972
0,1,0.9734986038655015
1,1,0.9956182322887325
0,0,0.0008372027938594471
0,0,0.005176590770270356
0,0,0.000847209065292622
0,0,0.007597596003987372
0,0,0.005782881428425618
0,0,0.43028986822952436
0,0,0.012683988709613946
0,0,0.002571857450477547
0,0,0.02901019006815652
0,0,0.0012183142893381685
0,0,0.01175235489314651
1,1,0.9720259577772623
0,0,0.03447032119652244
0,0,0.0004900983885722915
1,1,0.5991911069526906
1,1,0.6699547348955662
0,0,0.03841879652460617
0,0,0.0018981557664037177
0,0,0.0012325933407068856
1,1,0.7717407094780177
1,1,0.850199409100278
0,0,0.0006306019889222142
1,1,0.6504372945153799
0,0,0.000786863281591387
0,0,0.0030298063547673634
0,0,0.09008940536929208
0,0,0.003972901033188953
0,0,0.0015661176642794371
1,1,0.9377266610877358
0,0,0.001376885027592975
0,0,0.09505628035036452
1,1,0.7572334951151256
0,0,0.028226503991863678
1,1,0.8929418694509602
0,0,0.0011466268848452999
0,0,0.010623497753755096
1,0,0.07767288115760738
0,0,0.028437201089093523
0,0,0.04096834682449267
1,1,0.8042370270810036
0,0,0.020322795747332128
0,0,0.008464074614137833
0,0,0.030550663552683776
0,0,0.05398932898042829
1,1,0.9918366261679928
1,1,0.9957645189159198
0,1,0.6473640171399764
0,0,0.028934601832659123
0,0,0.2861471119834401
0,0,0.011343635847331699
1,1,0.9828309629986016
1,1,0.7757616767700337
1,1,0.8639395148259639
0,0,0.019344621741457915
0,0,0.3021823720137721
0,0,0.034918428120500604
0,0,0.04841803627132376
1,0,0.35275156925113027
0,0,0.09673299022965384
1,1,0.7627004134896268
0,0,0.013554996597743492
0,0,0.05626323367357456
1,0,0.21365316593154857
0,0,0.007535776656614882
1,1,0.9708268798851505
0,0,0.03968415194132242
0,0,0.001023862221923144
0,0,0.0003717009070970684
0,0,0.005378641517245697
0,0,0.3324145476986361
0,0,0.10913739427197744
0,0,0.07188235155215954
1,1,0.9352307233647773
0,0,0.001167028237253323
0,0,0.1127947547929853
1,1,0.9855008876678032
1,1,0.9862128823784427
1,1,0.6445650168289259
0,1,0.6639861247719446
0,0,0.0059953209588174865
0,0,0.0015671062427893626
1,1,0.9469662096795562
1,1,0.9382179446691847
0,0,0.03831937421401643
0,0,0.003435978106459314
0,0,0.12132870593019897
0,0,0.002225308776073704
0,0,0.04059450524312329
0,0,0.004193584674933758
1,0,0.3135972487928414
0,0,0.09288549917970078
0,0,0.0002162778477006342
1,1,0.8574869314425444
1,1,0.916076973104117
1,0,0.3074281381968339
0,0,0.007116470292310691
