True Label,Predicted Label,y_score
0,1,0.6550099849700928
0,0,0.022603308781981468
1,0,0.4052523076534271
0,0,0.09582679718732834
0,0,0.3307192921638489
1,0,0.4997161030769348
0,0,0.2683776915073395
0,0,0.33402833342552185
0,0,0.3185160458087921
0,0,0.2257804423570633
0,0,0.14578364789485931
0,0,0.11835907399654388
0,0,0.39064857363700867
0,0,0.002893783850595355
0,0,0.37981823086738586
0,0,0.33485251665115356
0,0,0.24962934851646423
0,0,0.15284742414951324
0,0,0.1657826155424118
0,0,0.01015437301248312
0,0,0.18651606142520905
0,0,0.3340238630771637
0,0,7.846852236991636e-14
1,1,0.9350904822349548
0,0,0.11650976538658142
0,0,0.06300650537014008
0,0,0.010517300106585026
0,0,0.23204514384269714
0,0,0.24064403772354126
0,0,0.0031046809162944555
0,0,0.215402290225029
1,0,0.3340238630771637
0,0,0.3340238630771637
0,0,0.323169082403183
1,0,0.403411328792572
0,0,0.3340238630771637
0,0,0.3340238630771637
0,0,0.10979188978672028
0,0,0.33490118384361267
1,0,0.2353346347808838
1,0,0.4267648756504059
1,1,0.8852927088737488
0,0,0.20390962064266205
1,0,0.3817306458950043
0,0,0.04432039335370064
0,0,0.3648560047149658
0,0,0.14934590458869934
0,0,0.016297226771712303
0,0,0.15999695658683777
1,0,0.03204846754670143
0,0,0.0740591362118721
0,0,0.20959597826004028
0,0,0.02859785594046116
1,0,0.37285315990448
0,0,0.11475466936826706
0,0,0.23183172941207886
0,0,0.3319520354270935
1,1,0.6168659329414368
0,0,0.08802176266908646
0,0,0.06994713097810745
0,0,0.4643818140029907
0,0,0.37234362959861755
1,0,0.3865063786506653
0,0,0.3340238630771637
1,1,0.4997503161430359
0,0,0.2620149254798889
0,0,0.00889788568019867
0,0,0.3644965887069702
0,0,0.01996215246617794
0,0,0.11293810606002808
1,1,0.8973220586776733
1,1,0.6314027905464172
0,1,0.6966391801834106
0,0,0.1461864858865738
1,0,0.10927973687648773
0,0,0.2910793125629425
1,1,0.8787757754325867
1,1,0.881462574005127
0,0,0.2991522252559662
0,0,0.3765907287597656
1,0,0.2567939758300781
0,0,0.27754056453704834
1,0,0.29390186071395874
1,1,0.730576753616333
0,0,0.32858121395111084
0,0,0.37680283188819885
0,0,0.01288957055658102
0,0,0.06125801056623459
0,0,0.1131889671087265
0,0,0.2051270455121994
0,0,0.397806316614151
1,0,0.27435535192489624
0,0,0.17219507694244385
0,0,0.31095489859580994
1,0,0.20810580253601074
0,1,0.9047310948371887
0,0,0.13455915451049805
0,0,4.366237078556878e-07
0,0,0.0006413115770556033
0,0,0.23639962077140808
1,1,0.7726256251335144
0,0,0.061051659286022186
1,1,0.6760537028312683
0,0,0.08416052907705307
0,0,0.36952680349349976
1,1,0.7895774245262146
0,0,0.26252996921539307
0,0,0.11907806247472763
0,0,0.39672908186912537
1,1,0.9346027970314026
0,0,0.22751030325889587
0,0,0.11629520356655121
0,0,0.07355717569589615
0,0,0.15954118967056274
0,0,0.10015809535980225
0,0,0.27885058522224426
1,0,0.0844351276755333
0,0,0.16159921884536743
1,0,0.28498679399490356
0,0,0.3780839145183563
0,0,0.2716308832168579
0,0,0.36162441968917847
0,0,0.022656047716736794
0,0,0.05640549212694168
0,0,0.12946468591690063
1,0,0.48740676045417786
0,0,0.2935905158519745
1,1,0.539222776889801
1,0,0.17753948271274567
1,1,0.7211182713508606
0,0,0.08090981096029282
0,0,0.03269766643643379
0,0,0.1571025848388672
1,0,0.40862834453582764
0,0,0.20977988839149475
0,0,0.10163719207048416
1,1,0.5136958360671997
0,0,0.46584537625312805
0,0,0.06644788384437561
1,0,0.3340238630771637
0,0,0.05877341330051422
0,0,0.1542259007692337
0,0,0.10398199409246445
0,0,0.05049114674329758
0,0,0.37954285740852356
0,0,0.35004177689552307
0,0,0.054302748292684555
0,1,0.6435859203338623
0,0,0.3340238630771637
1,1,0.8282066583633423
1,0,0.1639806181192398
0,0,0.23272298276424408
1,1,0.7361619472503662
0,0,0.18798115849494934
0,0,0.3340238630771637
0,0,0.004888470284640789
0,0,0.026811180636286736
0,0,0.2583962678909302
0,0,0.2584725022315979
1,0,0.3340238630771637
1,1,0.780247688293457
0,0,0.21284757554531097
0,0,0.031659744679927826
0,0,0.10625151544809341
1,0,0.05078587308526039
1,0,0.22558604180812836
1,0,0.3340238630771637
1,1,0.829670786857605
0,0,0.3162890672683716
0,0,0.13510088622570038
0,0,0.028478218242526054
0,0,0.06910939514636993
0,0,0.04590805247426033
0,0,0.010190400294959545
1,0,0.3340238630771637
1,0,0.2874904274940491
1,0,0.3119620680809021
1,1,0.5610687136650085
1,0,0.3340238630771637
0,0,0.19236132502555847
1,1,0.7072348594665527
1,0,0.32588428258895874
1,0,0.2604604959487915
0,0,0.33038321137428284
0,0,0.38039788603782654
0,0,0.07698718458414078
0,0,0.08217860013246536
1,0,0.3340238630771637
0,0,0.45073220133781433
0,0,0.05026201158761978
0,0,0.3780839145183563
0,0,0.20051804184913635
0,0,0.3340238630771637
1,1,0.7419853806495667
1,1,0.597036600112915
0,0,0.29806020855903625
0,0,0.26394641399383545
0,0,0.16529417037963867
0,0,0.04384119063615799
1,0,0.3186294436454773
0,0,0.33601996302604675
0,0,0.07006137818098068
0,0,0.1273738592863083
0,0,0.30749762058258057
0,0,0.26102712750434875
0,0,7.872643550399516e-07
0,0,0.18720653653144836
0,0,0.24165141582489014
0,0,0.046568162739276886
0,0,0.11564110219478607
0,0,0.3404797613620758
0,0,0.2615349590778351
0,0,0.009172612801194191
0,0,0.2537817060947418
0,0,0.13726714253425598
0,0,0.05758963152766228
0,0,0.25166183710098267
0,0,0.45727676153182983
0,0,0.07406659424304962
0,0,0.11952177435159683
0,0,0.10550980269908905
1,0,0.0734429806470871
0,1,0.9330263137817383
0,0,0.026549050584435463
1,0,0.2332054227590561
0,0,0.19114330410957336
0,0,0.3128213882446289
0,0,0.26466110348701477
1,0,0.12749777734279633
0,0,0.33061230182647705
0,0,0.188008114695549
1,0,0.2711731791496277
0,0,0.1344108283519745
0,0,0.3346937298774719
1,0,0.04787720367312431
0,0,0.24273258447647095
1,1,0.995806097984314
1,1,0.8522558808326721
0,0,0.23043511807918549
0,0,0.3344848155975342
1,0,0.14894741773605347
0,0,0.20605744421482086
1,0,0.20406480133533478
